dataset,dataelement,shortname,code,categoryoptioncombo,dataelementuid,categoryoptioncombouid
2020 HF5 - Hospital Inpatients,Admission - Antental client with malaria_X,Admission ANC client with malaria,ADMISSION_ANC_MALARIA,default,wiSg9vwnKUQ,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Child 1-59 months_X,Admission Child 1-59m,ADMISSION_CHILD_12_59M,default,NdZUSU7UwAV,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Child with diarrhoea_X,Admission Child with diarrhoea,ADMISSION_CHILD_DIARRHOEA,default,rSW452Cr0V7,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Child with malaria 0-59 months_X,Admission Child with malaria 0-59m,ADMISSION_CHILD_MALARIA_0_59M,default,C1DCcLAtafH,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Child with malaria 5-14 years_X,Admission Child with malaria 5-14 yrs,ADMISSION_CHILD_MALARIA_5_14Y,default,IcUrc8pkuwR,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Child with pneumonia_X,Admission Child with pneumonia,ADMISSION_CHILD_PNENUMONIA,default,BsUwx1gUUqW,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Ebola survivor_X,Admission Ebola survivor,ADMISSION_EBOLA_SURVIVOR,default,A5q4m0DO7np,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Intensive Care_X,Admission ICU,ADMISSION_ICU,default,RBoW0TWec11,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Malaria 15+ years_X,Admission Malaria 15+ yrs,ADMISSION_MALARIA_15PY,default,SdQVZnWzmtH,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Maternity_X,Admission Maternity,ADMISSION_MATERNITY,default,qzxW2Al8iPB,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Medical_X,Admission Medical,ADMISSION_MEDICAL,default,DrlnT4FOfC5,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Paediatric_X,Admission Paeds,ADMISSION_PAEDIATRIC,default,KN9PbC8mfy6,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Psychiatric_X,Admission Psych,ADMISSION_PSYCHIATRIC,default,NQTn52tt6O4,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Special care baby unit_X,Admission Special care baby unit,ADMISSION_SPEC_BABY_UNIT,default,MALGqIplYFL,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Stabilisation Centre_X,Admission Stab Centre,ADMISSION_STABILISATION_CENTRE,default,ltjTJAMygAy,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Surgical_X,Admission Surgical,ADMISSION_SURGICAL,default,EPFZ6ZowSO7,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - TB_X,Admission TB,ADMISSION_TB,default,KfNbEcOkawp,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Admission - Total_X,Admission Total,ADMISSION_TOTAL,default,GPZu3HVJygY,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Intensive Care_X,Beds ICU,BEDS_ICU,default,J4RbLVT6WOE,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Maternity_X,Beds Maternity,BEDS_MATERNITY,default,EiCbKvfxkOR,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Medical_X,Beds Medical,BEDS_MEDICAL,default,q5IElvNFt61,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Paediatric_X,Beds Paeds,BEDS_PAEDIATRIC,default,QDrtuGsKrJz,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Psychiatric_X,Beds Psychiatric,BEDS_PSYCHIATRIC,default,OR2rRjR6fgu,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Special care baby unit_X,Beds Special care baby unit,BEDS_SPEC_BABY_UNIT,default,yfm5sijijve,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Stabilisation Centre_X,Beds Stab Centre,BEDS_STABILISATION_CENTRE,default,Ird5A7pG6rk,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Surgical_X,Beds Surgical,BEDS_SURGICAL,default,i2MgjpdU9Em,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - TB_X,Beds TB,BEDS_TB,default,XDrwuinhZRM,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Beds - Total_X,Beds Total,BEDS_TOTAL,default,fyNHVw6vdct,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Blood Units transfused,Blood Units transfused,BLOOD_UNITS_TRANSFUSED,default,MjCihooeeHv,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Cataract surgery,Cataract surgery,CATARACT_SURGERY,default,iNMHpZUdPou,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Child death - Cause unspecified,Child death Cause unspecified,CHILD_DEATH_CAUSE_UNSPECIFIED,1-59m_X,Nqb3KH7zRxD,A8dMUfhg6UE
2020 HF5 - Hospital Inpatients,Child death - Cause unspecified,Child death Cause unspecified,CHILD_DEATH_CAUSE_UNSPECIFIED,10-14y_X,Nqb3KH7zRxD,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Cause unspecified,Child death Cause unspecified,CHILD_DEATH_CAUSE_UNSPECIFIED,5-9y_X,Nqb3KH7zRxD,cuvi0oNThtK
