datasetelementid,dataset_uid,dataset,dataelement_uid,code,dataelement
28984146,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT001,,Plumpy Nuts (OTP) - Opening Balance (A)
28984121,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT002,,"Vitamin A 100,000 IU (Blue), Cap - Opening Balance (A)"
28984134,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT003,,"Vitamin A 200,000 IU (Red), Cap - Opening Balance (A)"
28984133,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT004,,Plumpy Nuts (OTP) - Quantity Received (B)
28984137,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT005,,"Vitamin A 100,000 IU (Blue), Cap - Quantity Received (B)"
28984130,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT006,,"Vitamin A 200,000 IU (Red), Cap - Quantity Received (B)"
28984126,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT007,,Plumpy Nuts (OTP) - Losses / Adjustments (C)
28984141,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT008,,"Vitamin A 100,000 IU (Blue), Cap - Losses / Adjustments (C)"
28984147,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT009,,"Vitamin A 200,000 IU (Red), Cap - Losses / Adjustments (C)"
28984144,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT010,,Plumpy Nuts (OTP) - Quantity Dispensed (D)
28984127,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT011,,"Vitamin A 100,000 IU (Blue), Cap - Quantity Dispensed (D)"
28984143,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT012,,"Vitamin A 200,000 IU (Red), Cap - Quantity Dispensed (D)"
28984120,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT013,,Plumpy Nuts (OTP) - Closing Balance (E)
28984119,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT014,,"Vitamin A 100,000 IU (Blue), Cap - Closing Balance (E)"
28984129,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT015,,"Vitamin A 200,000 IU (Red), Cap - Closing Balance (E)"
28984131,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT016,,Plumpy Nuts (OTP) - Days Out of Stock (F)
28984139,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT017,,"Vitamin A 100,000 IU (Blue), Cap - Days Out of Stock (F)"
28984125,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT018,,"Vitamin A 200,000 IU (Red), Cap - Days Out of Stock (F)"
28984123,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT019,,Average Month Consumption for Plumpy Nuts (OTP) - 3 Months
28984136,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT020,,"Average Month Consumption for Vitamin A 100,000 IU (Blue), Cap - 3 Months"
28984142,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT021,,"Average Month Consumption for Vitamin A 200,000 IU (Red), Cap - 3 Months"
28984124,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT022,,Average Month Consumption for Plumpy Nuts (OTP) - 6 Months
28984128,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT023,,"Average Month Consumption for Vitamin A 100,000 IU (Blue), Cap - 6 Months"
28984132,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT024,,"Average Month Consumption for Vitamin A 200,000 IU (Red), Cap - 6 Months"
28984138,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT025,,Plumpy Nuts (OTP) - Stockout
28984122,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT026,,"Vitamin A 100,000 IU (Blue), Cap - Stockout"
28984118,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,NRCHCNUT027,,"Vitamin A 200,000 IU (Red), Cap - Stockout"
28984135,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,QhHpCU6ix73,,chc_Nutrition_Plumpy Nuts (OTP)_L/A_Comments
28984145,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,bFDqPG1k4OC,,"chc_Nutrition_Vitamin A 100,000 IU (Blue), Cap_L/A_Comments"
28984140,A2E9nMB66UT,RRIV_mchp_chp_Nutrition,vb5QxZLrd8i,,"chc_Nutrition_Vitamin A 200,000 IU (Red), Cap_L/A_Comments"
28909411,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,A6YS5xQ3yda,,"chc_Most Esntl Meds and Cons_Zinc Sulphate 20mg, Dispersible, Tab_L/A_Comments"
28909744,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,BuGrSIPB0bp,,"chc_Most Esntl Meds and Cons_Paracetamol (Acetaminophen) 250mg, Dispersible, Tab_L/A_Comments"
28909605,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,CgamM23v0y0,,"chc_Most Esntl Meds and Cons_Gauze, Pad, N17, 12-Ply, 10cm x 10cm, Pcs_L/A_Comments"
28909816,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,EdLErY4I1gT,,"chc_Most Esntl Meds and Cons_Methyldopa 250mg, Tab_L/A_Comments"
